0;Ben John;O'Brien;1998-10-15;ben_john98@ezybarber.com;Strada Caderea Bastiliei 11;Romania;Timis;Timisoara
1;William;Day;1988-12-30;will_day88@gmail.com;Piata Presei Libere 3-5;Romania;Dolj;Craiova
2;Charles Richard;Kelly;1996-03-13;charlie_kelly96@yahoo.com;Strada Bihor;Romania;Brasov;Brasov
3;Donald;Castaneda;1998-07-04;donald_castaneda98@domain.com;Strada Economu Cezarescu 42;Romania;Cluj;Cluj-Napoca
4;Charles-Mike;Lam;1986-04-15;charles_lam86@manghinsu.com;Strada Miletin;Romania;Bihor;Oradea
5;Robert;Beck;1990-07-23;bert_beck90@otpku.com;Calea Crangasi 29;Romania;Braila;Braila
6;O'Mikel;Rowe;1984-03-20;rowe84@thekangsua.com;Bulevardul Timisoara 26;Romania;Arges;Pitesti
7;Mike-Abraham;Dotson;1989-09-05;mike_dotson89@bomukic.com;Piata Romana 6;Romania;Mures;Targu Mures
8;Joseph Michael;Tucker-Doyle;2001-01-22;joseph_mike01@avmap.com;Bulevardul General Gheorghe Magheru 2-4;Romania;Maramures;Baia Mare
9;Robert;O'Gallagher;1994-12-06;robertino94@gmailni.com;Aleea Istru Nr. 5, Bl P4, Ap31, Sector 6;Romania;Botosani;Botosani
